score,lang,archive,repo,task_id,loc,files,tests,confidence,description,fix_commit,source_archive,breakdown
74.5,JS/TS,yes,whaler,whaler__bba744a8cb72,70,4,1,high,Fix(mobile): use neutral camera permission copy (#1504),bba744a8cb72b4eeb8fabff1658acff4b2d16945,project_silver_repos/oxneHL3CRifbHfhEpV09__whaler.zip,size=+25 files=+20 tests=+12 domain=-9 lang=+12 mining=+14.5
73.5,Python,yes,ledgercore,ledgercore__695528a95d4e,56,5,5,medium-high,Fix test fixtures for chart hierarchy and reports,695528a95d4eca02fb37688d17e8de4068ff4a08,project_silver_repos/ViBjNvr7P9COpqMNBxl6__ledgercore.zip,size=+25 files=+20 tests=+12 domain=+0 lang=+10 mining=+6.5
71.0,JS/TS,yes,pantry,pantry__3c79d183b353,84,2,1,medium-high,Investigate and fix validate issue indicated by commit 'importers/jsonl: read/write/validate newline-delimited JSON' in src/importers/jsonl.ts.,3c79d183b3538cfac3cd877fec33a2a053d0364a,project_silver_repos/vIvLKvQhtQGBmob11Pri__pantry.zip,size=+25 files=+15 tests=+12 domain=+0 lang=+12 mining=+7
71.0,JS/TS,yes,worknest,worknest__d477fa764cdd,90,2,1,medium-high,Investigate and fix validate issue indicated by commit 'saved-views: shape-validate criteria up-front (allowed keys per resource)' in apps/api/src/modules/saved,d477fa764cdd0865d3e0f081335e661bb0e54c95,project_silver_repos/9wPuGNy2ZjhG5wwvAAs7__worknest.zip,size=+25 files=+15 tests=+12 domain=+0 lang=+12 mining=+7
70.0,Java,yes,vault-service,vault-service__6740fa2d61ec,51,4,2,medium-high,Investigate and fix fix issue indicated by commit 'PRF-8801 : Fix Existing integration test for vault entries' in src/main/java/com/gap/customer/vaultservice/mo,6740fa2d61ecc60b6baab4d2a7b028b0930d6367,project_silver_repos/4EFokkH8brdfoCQgA8jC__vault-service.zip,size=+25 files=+20 tests=+12 domain=+0 lang=+6 mining=+7
69.5,Python,yes,pebble,pebble__8bb31911389a,58,2,2,medium,"Investigate and fix edge issue indicated by commit 'More tests: visibility/session/dump-helper edge cases' in tests/unit/test_session_lookup.py, tests/unit/test",8bb31911389ae9af3adc23dd9bd1dcf64a1c0402,project_silver_repos/yqaHuD7oJ5Glmwwog7cY__pebble.zip,size=+25 files=+15 tests=+12 domain=+6 lang=+10 mining=+1.5
69.0,unknown,yes,tableflow,tableflow__3aa74d9d6246,43,2,1,high,"Investigate and fix auth issue indicated by commit 'test(e2e): playwright config + auth flow (gate, form, forgot link)' in frontend/playwright.config.js.",3aa74d9d6246d224460f7c3c262b9ef1488203b6,project_silver_repos/HZToCMOcU97mVDAqXPpG__tableflow.zip,size=+25 files=+15 tests=+12 domain=+6 lang=+0 mining=+11
68.5,unknown,yes,godhand,godhand__550c995fb17c,72,4,2,high,Fix: restore lobby routing fallback and backend test stability,550c995fb17c4aa1491e09f42ab9d96fac3d14fa,project_silver_repos/JReZXndfFv1WU9etK4hE__godhand.zip,size=+25 files=+20 tests=+12 domain=+0 lang=+0 mining=+11.5
68.0,JS/TS,yes,whaler,whaler__806ee585855e,147,7,2,high,Fix(pi): prefill linked issue URL via env var to bypass paste-readiness race (#1477),806ee585855e265579b002ffdd5a884fe6817793,project_silver_repos/oxneHL3CRifbHfhEpV09__whaler.zip,size=+18 files=+5 tests=+12 domain=+6 lang=+12 mining=+15
68.0,JS/TS,yes,Sefarius,sefarius__65401db91b31,328,6,1,high,"Fix(auth): confirmReset auto-login + UX (toggle olho, regras de senha)",65401db91b312005330946c583b301fa665cb2a9,project_silver_repos/UMUsuLdxETQowOJrP247__Sefarius.zip,size=+5 files=+20 tests=+12 domain=+6 lang=+12 mining=+13
67.5,JS/TS,yes,authentication-oidc,authentication-oidc__50454f23fdb7,202,9,2,high,"Fix(authorizer): break tf cycle properly, drop wildcard auth gateway slot",50454f23fdb775483f0a2209cf5ab6dc5d596816,project_silver_repos/kBxiwJ5smfNawnmzbHA9__authentication-oidc.zip,size=+18 files=+5 tests=+12 domain=+6 lang=+12 mining=+14.5
67.0,Python,yes,meridian,meridian__44eeae0f868b,119,9,4,high,Fix infinite loop in simple_cycles and duplicate cycles in cycle_basis,44eeae0f868b6499e82c2ec4514aadd9fe902568,project_silver_repos/9Y292jyidKCh7dXrlsRa__meridian.zip,size=+25 files=+5 tests=+12 domain=+0 lang=+10 mining=+15
66.0,Python,yes,repflow,repflow__0a1f78058353,78,4,0,medium-high,Fix bearer auth update error handler to show missing required feilds on error,0a1f78058353ff57093db3d974ec76dbeec0626c,project_silver_repos/wppZw34f4yHVOOzcJG0c__repflow.zip,size=+25 files=+20 tests=-4 domain=+6 lang=+10 mining=+9
65.5,JS/TS,yes,Sefarius,sefarius__6934d5d21c00,57,5,0,medium-high,Fix(security): close RF-01 leak in Go fallbacks + tighten NFE_DEV_MODE,6934d5d21c00893a8e789d85087ad26a412b0092,project_silver_repos/UMUsuLdxETQowOJrP247__Sefarius.zip,size=+25 files=+20 tests=-4 domain=+0 lang=+12 mining=+12.5
65.0,unknown,yes,dineops,dineops__0646152b8e47,93,2,1,medium-high,"Investigate and fix precision issue indicated by commit 'common: money helpers (quantize per currency precision, to_cents/from_cents, split_evenly) + tests' in ",0646152b8e47234443cb6cdcd1afa3f5c9a50dc9,project_silver_repos/xg0lKcCrHWoZiD89Ro9Z__dineops.zip,size=+25 files=+15 tests=+12 domain=+6 lang=+0 mining=+7
65.0,Java,yes,vault-service,vault-service__52608cf0c6bb,42,3,1,medium-high,Investigate and fix fixed issue indicated by commit 'PRF-8744: added tests for bluefin util and fixed giftCardTemplateRef' in src/main/java/com/gap/customer/vau,52608cf0c6bb98e77f97b96676574295445a1a64,project_silver_repos/4EFokkH8brdfoCQgA8jC__vault-service.zip,size=+25 files=+15 tests=+12 domain=+0 lang=+6 mining=+7
64.0,JS/TS,yes,pantry,pantry__db71cbed2b6e,153,2,1,medium-high,Investigate and fix canonical issue indicated by commit 'core/abbrev: canonical-form table for unit abbreviations' in src/core/abbrev.ts.,db71cbed2b6ea2d5046961361569e42023438390,project_silver_repos/vIvLKvQhtQGBmob11Pri__pantry.zip,size=+18 files=+15 tests=+12 domain=+0 lang=+12 mining=+7
64.0,JS/TS,yes,pantry,pantry__f246bb8a3d7e,143,2,1,medium-high,"Investigate and fix parser issue indicated by commit 'importers/csv-parser: tiny CSV reader (quoted fields, BOM, CRLF)' in src/importers/csv-parser.ts.",f246bb8a3d7e3db3d455a2b95037752d468ba386,project_silver_repos/vIvLKvQhtQGBmob11Pri__pantry.zip,size=+18 files=+15 tests=+12 domain=+0 lang=+12 mining=+7
63.5,JS/TS,yes,LocalPay-System-and-API,localpay-system-and-api__436073122c93,268,3,1,high,Fixed the issue that woud cause in race condtion and reopining paid invocie by making them uni in qb constrinet,436073122c93abc145dc03d1b51028cab7e87318,project_silver_repos/nGIkUIMl9OuYeQAh5XtC__LocalPay-System-and-API.zip,size=+5 files=+15 tests=+12 domain=+6 lang=+12 mining=+13.5
63.5,JS/TS,yes,graphkit,graphkit__25ebacd18c75,127,2,1,medium-high,"Investigate and fix path issue indicated by commit 'add path utilities: Eulerian, Hamiltonian, isSimplePath, allPaths, isCycle' in src/path.ts.",25ebacd18c757143ca01edbcc62bcf12bc7c0c6f,project_silver_repos/YobEA4vMqpMCNfkj9FZk__graphkit.zip,size=+18 files=+15 tests=+12 domain=+0 lang=+12 mining=+6.5
63.5,JS/TS,yes,graphkit,graphkit__6363ce2ca293,132,2,1,medium-high,"Investigate and fix edge issue indicated by commit 'add serialization: JSON, DOT, adjacency list, edge list import and export' in src/serializer.ts.",6363ce2ca29328c197c630c16e42409540632882,project_silver_repos/YobEA4vMqpMCNfkj9FZk__graphkit.zip,size=+18 files=+15 tests=+12 domain=+0 lang=+12 mining=+6.5
63.5,JS/TS,yes,graphkit,graphkit__e0e9e8fd1032,165,2,1,medium-high,"Investigate and fix path issue indicated by commit 'add shortest path: Dijkstra, Bellman-Ford, Floyd-Warshall, A*' in src/shortest_path.ts.",e0e9e8fd10324708b18e5eb99ea008cd38daa766,project_silver_repos/YobEA4vMqpMCNfkj9FZk__graphkit.zip,size=+18 files=+15 tests=+12 domain=+0 lang=+12 mining=+6.5
63.5,Python,yes,bulwark,bulwark__71c6154c597e,208,2,1,medium,Investigate and fix decoder issue indicated by commit 'chunked: streaming Transfer-Encoding decoder with trailers and body cap' in src/bulwark/chunked.py.,71c6154c597e813c2d88aca46714ee69a7d2cff2,project_silver_repos/xHdqqNmmLRNApGIZk1TX__bulwark.zip,size=+18 files=+15 tests=+12 domain=+6 lang=+10 mining=+2.5
63.5,Python,yes,nota,nota__8406c30116f3,90,2,2,medium,"Investigate and fix edge issue indicated by commit 'test: expand coverage for links, search, and edge cases' in tests/test_links.py, tests/test_search.py.",8406c30116f3b639cfd3a0f1af574b087cd5310f,project_silver_repos/xM24WcBVLv23JcpcCOk0__nota.zip,size=+25 files=+15 tests=+12 domain=+0 lang=+10 mining=+1.5
63.0,JS/TS,yes,LocalPay-System-and-API,localpay-system-and-api__9d4a66375ff3,104,4,0,medium-high,Fixed the sms validation faling to validate cbe photo orc text,9d4a66375ff371367db564d9819d4739fee860c2,project_silver_repos/nGIkUIMl9OuYeQAh5XtC__LocalPay-System-and-API.zip,size=+25 files=+20 tests=-4 domain=+0 lang=+12 mining=+10
62.0,Python,yes,timewindow-lib,timewindow-lib__9e26d29b51b0,205,3,1,medium-high,"Investigate and fix parse issue indicated by commit 'feat: parse compact duration strings with explicit error types' in timewindow/duration.py, timewindow/excep",9e26d29b51b05537c86e63f0ee1b8f3cecce1e39,project_silver_repos/UVa89hisQtQe3ycHuJTD__timewindow-lib.zip,size=+18 files=+15 tests=+12 domain=+0 lang=+10 mining=+7
61.0,Python,yes,taskbeast,taskbeast__aee1230effc5,61,3,0,medium-high,Fixed login page toast error by updating router and auth logic,aee1230effc5b58e3f951f6b80cea9e8f92af71f,project_silver_repos/vjzmiUA9sin4THKS8oCr__taskbeast.zip,size=+25 files=+15 tests=-4 domain=+6 lang=+10 mining=+9
61.0,JS/TS,yes,studio-client,studio-client__3e859bc0c976,44,4,0,medium-high,"Investigate and fix fix, infinite issue indicated by commit 'Infinite scroll on Notes page fix (#416)' in src/pages/Notes/Notes.tsx, src/pages/Notes/StudentList",3e859bc0c976f7f8430d32f83f4f92d8413ac8b0,project_silver_repos/WetpOR35a2XK61Y1HMqQ__studio-client.zip,size=+25 files=+20 tests=-4 domain=+0 lang=+12 mining=+8
60.5,Python,yes,taskbeast,taskbeast__f34e8b28c674,91,2,0,medium-high,Fixed github action timeout issue by increasing it to 10 mins,f34e8b28c674a81b3418327cdaa585ea29d0d8c8,project_silver_repos/vjzmiUA9sin4THKS8oCr__taskbeast.zip,size=+25 files=+15 tests=-4 domain=+6 lang=+10 mining=+8.5
60.5,JS/TS,yes,support-chat,support-chat__4a0ebf3c8072,49,6,0,medium-high,Fix: Resolve remaining contact_id null errors and add guest_id migration,4a0ebf3c80724a6a8c4e0698f2514e2aeffda3d6,project_silver_repos/yzUJe2KVJcvSHsmLm5GO__support-chat.zip,size=+25 files=+20 tests=-4 domain=+0 lang=+12 mining=+7.5
