score,lang,verdict,repo,task_id,source,test,config,doc,fix_commit,description
24.0,Python,ok-but-no-tests,logistics-planner,logistics-planner__a065dbac221b,1,0,0,0,a065dbac221b48f09f318068e6e34dad7a50a849,Investigate and fix bound issue indicated by commit 'branch and bound for IP' in logistics_planner/solvers/branch_and_bo
23.5,Python,ok-but-no-tests,subsync,subsync__4ee58f551088,1,0,0,0,4ee58f5510880160227ca73b96ee282ae8036e41,Investigate and fix validate issue indicated by commit 'validate - smoke checks for srt/vtt/ass/ttml/scc' in subsync/val
20.5,Python,ok-but-no-tests,inventory_management_platform,inventory-management-platform__c4af7a65a049,1,0,0,0,c4af7a65a049969c5d6138a41062cd6183ef003e,Fix race window in ship/reserve: pull check inside transaction
17.0,Python,ok-but-no-tests,deptrack,deptrack__bb5cfc2048a0,1,0,0,0,bb5cfc2048a05506654b1f8ab62ee24b8483176f,Investigate and fix traversal issue indicated by commit 'feat: add dependency graph with cycle detection and transitive 
7.5,Python,ok-but-no-tests,aod_chatbot_v2,aod-chatbot-v2__4a5b50cf8221,1,0,0,0,4a5b50cf822162822c29b33e1fb718ecb5277b7c,"Investigate and fix auth issue indicated by commit 'auth: keep verify_api_key around as a deprecated shim, the old pytho"
6.0,Python,ok-but-no-tests,cobol_analyzer,cobol-analyzer__49034320ef8e,1,0,0,0,49034320ef8e63aefacbf71e99b0329716311655,Fix auth.service.ts to use session-based authentication instead of JWT tokens (#27)
5.5,Python,ok-but-no-tests,taskbeast,taskbeast__700d6c73449a,1,0,0,0,700d6c73449a492b124f698d4c7a60fe85d35e40,"Investigate and fix fix, fixed issue indicated by commit '[Fix] fixed the purchase number store in database' in phone-in"
5.0,Python,ok-but-no-tests,nexusflow,nexusflow__cf235510a82e,1,0,0,0,cf235510a82eb794f0792cb3a8e2918982ddbaba,Fix exponential backoff overflow for high retry counts
-1.0,Python,ok-but-no-tests,nexusflow,nexusflow__1cd9080f4c26,1,0,0,0,1cd9080f4c261ddc1ff5a66714e01dbe29d3578f,Fix session cleanup race condition
-1.5,Python,ok-but-no-tests,converge,converge__0a7a2d91a3c4,1,0,0,0,0a7a2d91a3c48ccbe0b55cc0c9c739c2c040c89e,Fix: VC is_concurrent_with should return False for equal clocks
-3.5,Python,GRADEABLE,rope-new-repo-root,rope-new-repo-root__2198416b3772,20,1,0,1,2198416b377284d9cb131f3ba80f0c0cdf202f6a,"Investigate and fix path, canonical issue indicated by commit '[1640-1649] Provide a method to the the ""canonical"" path "
-5.5,Python,ok-but-no-tests,JobSeachBlitzApp,jobseachblitzapp__816122051fbb,1,0,0,0,816122051fbbce70aa4c7ce8cc746df1d1160122,Fix(auth): fix validation in index
-6.0,Python,ok-but-no-tests,bynaus-ai-companion,bynaus-ai-companion__6f33ed0b0bd3,1,0,0,0,6f33ed0b0bd3045bb0ec8369b20ff05cd659a38c,Fix(email): use correct User model fields in permission guard
-6.0,Python,ok-but-no-tests,JobSeachBlitzApp,jobseachblitzapp__18cea9a778a8,1,0,0,0,18cea9a778a89bfff66edc91817dbc690040cb9e,Fix(auth): fix index edge case
-7.5,Python,ok-but-no-tests,brisque-nima,brisque-nima__a6da5bce53c3,1,0,0,0,a6da5bce53c3288ef6e4e5a7fc4d5763e3aba4d3,Fix concurrent batch processing
-7.5,Python,ok-but-no-tests,fleetops,fleetops__29a361301ed6,1,0,0,0,29a361301ed6adb1cadaa46f8c4d23b2db1941ac,Fix: concurrent modification handling
-11.5,Python,ok-but-no-tests,brisque-nima,brisque-nima__39799d2231b4,1,0,0,0,39799d2231b47431a94ec1a86ecb6fce512eff9f,Fix memory leak in model loader
-11.5,Python,ok-but-no-tests,mydsa,mydsa__c56f3d9919a6,1,0,0,0,c56f3d9919a638231bf008f68c5144d5c60c14df,Fix: prevent infinite loop on empty input in kosaraju.py
-12.0,Python,ok-but-no-tests,mydsa,mydsa__98154bb31c8e,1,0,0,0,98154bb31c8e658405af365d621677818db17b41,Fix: correct off-by-one in iteration bounds in events.py
-13.0,Python,ok-but-no-tests,mydsa,mydsa__01c8b40e4d96,1,0,0,0,01c8b40e4d962f6207e5adb61f00b6144f1d58c0,Fix: validate input parameters in incidence.py
-13.5,Python,ok-but-no-tests,cobol_analyzer,cobol-analyzer__ce2bedcdebbe,1,0,0,0,ce2bedcdebbe0ab21e23e43b359686d9e3963f22,Fix minor regression
-14.0,Python,ok-but-no-tests,fleetops,fleetops__ea78bae8a6b3,1,0,0,0,ea78bae8a6b39aae59b4f27140ee5aa9e6540c27,Fix: handle null coordinates
-14.5,Python,ok-but-no-tests,fleetops,fleetops__8c0b9c8d427b,1,0,0,0,8c0b9c8d427bdfb16ac119929d801880f2d11810,Fix: validate fleet name
-18.0,Python,ok-but-no-tests,repflow,repflow__d6c141418015,1,0,0,0,d6c14141801506d58e8404f5f6e22b40874d48d3,Fix: changed to wildcard cors allowed origins
-19.5,Python,ok-but-no-tests,timewindow-lib,timewindow-lib__2e5349620ed3,1,0,0,0,2e5349620ed3c46b17254434de719c7559027120,Fix: guard against non-positive bucket widths
