rank,repo,language,candidates,strong(>=55),best_score,source_archive,example
126,notiqo,JS/TS,3,0,53.5,project_silver_repos/RRDbYVNUlUJjqW2CqueS__notiqo.zip,Investigate and fix auth issue indicated by commit 'feat: ad
127,fluxpipe,Python,3,0,53.5,project_silver_repos/jxs4vkz1nLgSdJvyWz5b__fluxpipe.zip,"Investigate and fix validation, auth issue indicated by comm"
128,taskflow,Python,6,0,53.5,project_silver_repos/JfNWXRQeascsOF06no32__taskflow.zip,Fix case-sensitive search matching
129,halora-management,JS/TS,3,0,53.0,project_silver_repos/P2nHfTsSWv4KQOm5LhgF__halora-management.zip,Investigate and fix concurrent issue indicated by commit 'te
130,rope-new-repo-root,Python,3,0,53.0,project_silver_repos/uvIMcZFOk3ZWGJakKt9D__rope-new-repo-root.zip,Investigate and fix bug issue indicated by commit '[2280-228
131,approve-asap,Python,3,0,52.5,project_silver_repos/qDAOKQZOLAR6hapIrVsB__approve-asap.zip,Fix: update contract sorting and enhance menu structure
132,silt,JS/TS,3,0,52.0,project_silver_repos/wUAcUTYDXiETpevL1BoY__silt.zip,Investigate and fix traversal issue indicated by commit 'tes
133,forge,Python,3,0,52.0,project_silver_repos/2TvNErddwokC4IJTRWQX__forge.zip,Investigate and fix concurrency issue indicated by commit 't
134,Silver3,Python,3,0,51.5,project_silver_repos/Msqjg9r31KDpnPEdVC1L__Silver3.zip,Investigate and fix traversal issue indicated by commit 'fea
135,websiteSaige,unknown,3,0,51.0,project_silver_repos/ZU25tULRW57Y5EMo0MB2__websiteSaige.zip,Fix Supabase admin client initialization and unify backend a
136,stocktracker,Python,3,0,51.0,project_silver_repos/1nRH7kOHX4AsJiFZ7dSf__stocktracker.zip,"Investigate and fix auth, permission issue indicated by comm"
137,legalhighhub,JS/TS,3,0,51.0,project_silver_repos/1nmX3Yf1nuajSlWeh0kw__legalhighhub.zip,Fix dark mode issue in register page
138,newlandwebsites,JS/TS,3,0,51.0,project_silver_repos/BiGq3xjmxXFodZJu8yN7__newlandwebsites.zip,Fix recaptcha final
139,pulsar-dashboard,JS/TS,3,0,51.0,project_silver_repos/aBt0hh0r9AgcJCIHqAC0__pulsar-dashboard.zip,Fixed error occured during deploy
140,stat-doctor-priv,JS/TS,3,0,51.0,project_silver_repos/NDFIFBhBt3xR0ceheS7x__stat-doctor-priv.zip,Fix: duration in ind shifts
141,Unsnooze,JS/TS,3,0,51.0,project_silver_repos/HF19cbcMufPRjNthxKSt__Unsnooze.zip,Fix(ios): harden MediaPipe pod module resolution in EAS
142,account-service,JS/TS,3,0,50.5,project_silver_repos/ZJBXjRyXYE7wWXW3hGr3__account-service.zip,Fix typing
143,hostlight,unknown,3,0,50.0,project_silver_repos/qW03kJ9AeOsLjy9oF5vv__hostlight.zip,"Investigate and fix parse, auth issue indicated by commit 't"
144,airline-passenger-forecast,Python,3,0,50.0,project_silver_repos/IHFIBBJOFvF7d5TXhyki__airline-passenger-forecast.zip,Fix test_yoy_change_length: pct_change preserves NaN rows
145,deptrack,Python,3,0,50.0,project_silver_repos/UgSSo2X3mn39znQrHkCo__deptrack.zip,Investigate and fix traversal issue indicated by commit 'tes
146,spam-classifier,Python,3,0,50.0,project_silver_repos/4mGv6JFIfHanuardnwfy__spam-classifier.zip,"Fix: calibration_curve dict return, config_schema test_size,"
147,CS-Club-Community,JS/TS,2,0,49.5,project_silver_repos/Aqih7xjzbftjglmiQJ9f__CS-Club-Community.zip,Investigate and fix auth issue indicated by commit 'Upload c
148,LOGIN,JS/TS,3,0,49.5,project_silver_repos/9fSUrA8Q4MECSrh4ZEC5__LOGIN.zip,"Investigate and fix fix issue indicated by commit 'Revert ""R"
149,pawsdb_build,Python,3,0,49.0,project_silver_repos/jctxgKxEwQtvJQZKhIPU__pawsdb_build.zip,"Investigate and fix edge, security issue indicated by commit"
150,taskflow-ts,JS/TS,3,0,49.0,project_silver_repos/aLj09WjWdj9lFzBRi3ph__taskflow-ts.zip,Fix: rate limiter edge cases
151,cstoresupply,Python,3,0,49.0,project_silver_repos/GcPIeDJPFkw1yTA9b91f__cstoresupply.zip,"Investigate and fix security, injection issue indicated by c"
152,conveyor,Python,3,0,49.0,project_silver_repos/d2R6FcyG0cpOrVy7K2SJ__conveyor.zip,Fix: correct Flatten to use Record constructor when keep_ori
153,next-stop,JS/TS,3,0,48.5,project_silver_repos/aJK1sFNkbs56k09wawt2__next-stop.zip,Fix: Comment out section title rendering for current stop in
154,folio-api-sub,Python,3,0,48.0,project_silver_repos/GB8qxY8lbUZz4OFUKyyK__folio-api-sub.zip,"Investigate and fix auth, injection issue indicated by commi"
155,sensorhub,Python,3,0,48.0,project_silver_repos/1Q8J8PBsg1fBZGuyKGZ8__sensorhub.zip,Fix batch buffer race condition on flush
156,eventgrid-pro,JS/TS,3,0,48.0,project_silver_repos/Mp6XVHoHxuukF4SSa012__eventgrid-pro.zip,Fix promo edge case (maybe?)
157,repository-case-platform-svc,JS/TS,3,0,48.0,project_silver_repos/1Y5brFFm648acC8HQCnb__repository-case-platform-svc.zip,"Investigate and fix validation, auth issue indicated by comm"
158,payment-audit-ledger,Go,3,0,48.0,project_silver_repos/DPNkZzhONnktZtjWFBrX__payment-audit-ledger.zip,Investigate and fix validation issue indicated by commit 'St
159,synapsemq-repo,Python,3,0,47.5,project_silver_repos/ALuS2PZifQVdMxFGB1oV__synapsemq-repo.zip,"Investigate and fix validation, auth issue indicated by comm"
160,orca,Go,3,0,47.5,project_silver_repos/o5VKojoe2gAiPaYl8S4O__orca.zip,Fix: correct API usage across all new modules and add Record
161,schemai,JS/TS,3,0,47.5,project_silver_repos/IPV79DLBlQJ4WrZkiCgw__schemai.zip,Fix(config): fix getEffectiveMaxRecords type narrowing issue
162,enginefinder,JS/TS,3,0,47.5,project_silver_repos/hw3HEj99N9xTFLvEnWCU__enginefinder.zip,Fix round-robin race condition: JS rotation desync with DB t
163,chassis,JS/TS,3,0,47.5,project_silver_repos/ew8QuPESyTqhMs5RwbgG__chassis.zip,"Investigate and fix parser, escape issue indicated by commit"
164,coffeeShop,JS/TS,3,0,47.5,project_silver_repos/l1evkSPKnq0rnINrgNCq__coffeeShop.zip,Fixing bug
165,RealTimeChat,JS/TS,3,0,47.5,project_silver_repos/UZgVe3NzjHFWBBmSeJsc__RealTimeChat.zip,Fixed case sensitivity issue
166,Economic-Freedom-Fund-UI,JS/TS,3,0,47.0,project_silver_repos/1f3c2VzLmA9q6j6sbc9Y__Economic-Freedom-Fund-UI.zip,Fix: evict stale auth sessions missing accessToken to resolv
167,gridharbor,JS/TS,3,0,46.5,project_silver_repos/oJntMjt0qJqskb5q823U__gridharbor.zip,"Investigate and fix regression, edge issue indicated by comm"
168,repo,unknown,6,0,46.0,project_silver_repos/bMEUOrmpGk7I5QybR3Up__repo.zip,Fix memory leak in model loader
169,riftlog,Python,3,0,46.0,project_silver_repos/suyW0suCDAbdwFeqASV7__riftlog.zip,"Investigate and fix parse, path issue indicated by commit 'f"
170,async-api-monitor,Python,3,0,46.0,project_silver_repos/IR6vUTfIAEWIf7495deo__async-api-monitor.zip,Investigate and fix bounds issue indicated by commit 'more r
171,moss,Python,3,0,46.0,project_silver_repos/moss_mock_5x30a6zg__moss.zip,Investigate and fix auth issue indicated by commit 'Add API 
172,prism,Python,3,0,46.0,project_silver_repos/nkgxKEwmLbL1BU4U3lL7__prism.zip,Investigate and fix regression issue indicated by commit 'ca
